Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
anemia,3.05,2.04,4.09,2.39,3.55,2.01
anemic,3.45,1.19,3.45,1.79,3.14,1.62
anesthesia,4.84,2.06,3.64,2.06,2.95,2.24
anesthesiologist,4.95,2.11,3.56,2.25,3.68,2.42
anesthetic,5.48,2.27,3.23,1.82,4.72,2.19
aneurysm,2.5,1.79,5.38,2.33,2.7,1.94
angel,7.71,1.85,4.24,2.85,5.9,2.13
angelic,6.68,2.52,4.27,2.45,6.32,1.45
anger,2.5,1.36,5.93,2.77,5.14,2.8
angina,2.85,1.69,4.72,2.89,4,2.34
angiogram,4.19,1.83,3.61,2.68,4.28,2.44
angle,4.55,1.28,3.22,2.24,5.27,1.83
angora,5.63,2.24,2.95,1.56,5,2.02
angry,2.53,1.74,6.2,2.57,4.11,2.49
angst,3.5,1.7,5.76,2.55,3.62,2.31
anguish,3.14,1.77,5.41,2.72,4.27,1.87
anguished,2.78,1.46,4.79,2.54,2.88,1.65
animal,7.06,1.95,4.3,2.7,5.72,2.32
animated,6.65,1.79,5.77,2.29,6.71,1.82
animation,6.42,1.12,5.52,2.84,5.16,1.98
animosity,3.4,1.88,5.83,2.28,5.04,2.44
ankle,5.4,1.9,3.11,1.94,5.58,2.36
anklet,4.75,1.37,3.57,1.97,5.08,2
annals,4.8,0.83,2.6,2.21,4.95,1.17
annex,4.41,1.05,4,2.49,5.26,1.63
annihilate,3.15,1.73,6.44,2.53,4.62,2.79
annihilation,2.58,1.87,5.52,2.54,3.2,2.48
anniversary,6.95,2.03,4,2.68,6.86,2.05
announce,5.52,1.33,3.65,2.66,5.48,2.5
announcement,5.81,1.4,4.3,2.81,5.05,2.72
announcer,5.84,1.5,4.5,2.7,4.07,1.71
annoy,2.49,1.42,5.04,2.4,4.64,2.28
annoyance,2.95,1.23,4.1,2.59,3.45,1.87
annoyed,2.8,1.2,5.29,2.53,4.08,2.64
annoying,3,1.71,5.55,2.04,3.28,1.28
annual,5.19,1.97,3.7,1.84,4.9,1.83
annul,3.83,2.15,4.23,2.31,4.9,1.86
annulment,4.05,1.99,4.14,2.34,4.15,2.16
anointed,4.79,2.27,3.32,2.08,5.18,2.21
anomaly,4.84,1.74,4.25,2.45,4.26,1.57
anonymity,4.81,2.02,3.29,1.82,5.88,2.44
anonymous,5.75,1.65,4.13,2.2,5.48,2.52
anorexic,2.71,2.08,4.24,2.39,3.43,2.48
answer,6.1,1.41,4,2.89,5.95,2.04
ant,3.9,1.14,3.27,2.39,5.3,2.37
antagonistic,4.32,1.57,4.11,2.52,4.41,2.43
antagonize,3.15,1.35,4.95,2.11,4,2.65
antelope,5.68,1.46,4.46,2.72,5.57,2.41
antenna,5.43,1.25,3.15,2.11,5.67,2.1
anterior,4.89,1.82,3.36,2.34,4.64,1.52
anthem,5.95,1.43,4.48,2.27,6.29,2.36
anthill,4.32,1.86,4.63,2.17,4.76,2.34
anthrax,2.32,0.89,4.72,2.47,2.71,1.76
anthropological,5.53,1.9,3.82,2.42,5.14,1.88
anthropologist,5.7,1.22,3.27,2.33,5.19,2.63
anthropology,5.3,1.87,2.91,2.15,6,1.81
anti,4.47,1.98,4.23,2.52,5.05,2.54
antiaircraft,4.85,2.13,4.6,2.27,4.73,2.19
antibiotic,5.88,1.94,4.05,2.16,5.72,2.37
antibiotics,5.05,1.73,4.05,2.32,5.11,2.41
antichrist,2.36,1.79,5.58,2.4,4.39,2.66
anticipate,6,1.26,5.7,2,5.36,1.81
anticipation,5.26,1.66,5.39,2.55,5.53,2.24
antics,3.95,1.43,5.1,2.17,5.24,2.3
antidote,6.55,2.31,3.24,2.05,6.08,2.38
antigravity,5.74,1.76,5.1,2.65,3.77,2.09
antiquated,5,1.61,4.95,2.74,4.69,2.11
antique,6.5,1.93,4,2.35,5.79,2.44
antiques,6.63,2.29,3.68,2.71,5.17,1.72
antiseptic,4.57,1.69,3.15,2.03,4.77,2.49
